zolai	english	translations	cefr	example
nagana	Africa gama om sakol natna, n. Africa gama om sakol natna.	Africa gama om sakol natna | n. Africa gama om sakol natna. | nagana	C2	
nagger	(n.): မြည်တွန်တောက်တီးသူ။	(n.): မြည်တွန်တောက်တီးသူ။	C2	
naggy
harsh
abusive	haangsan	haangsan	C2	
nah	leaf	very much, as in "na nah ee," how it hurts.(nah:) in "Mual ii hem ah thang nah:ee." | leaf	C2	Hih ivy nah-te lian hi.
nahaihna	conlander	conlander	C2	Bang hang hiam cih leh Topa
nahoor	(n.): ဟိမဝန္တာတောင်တွင်ကျက်စားသည့်သိုးမျိုး။	(n.): ဟိမဝန္တာတောင်တွင်ကျက်စားသည့်သိုးမျိုး။	C2	
nahtang	banana	banana	C2	Tom in nahtang a kam hi.
nahtangkung	Banana tree	Banana tree	C2	
nahtangum	Banana Flower	Banana Flower	C2	
naiad	naiad	n. 1. cik, lui, bual leh guun laka om dawi, 2. numei tuipeek, 3. tuithe. | naiad | 1 | cik lui bual leh guun laka om dawi numei tuipeek tuithe	C2	
naidup	yarn with blue colour	yarn with blue colour	C2	
naihkik	went	went | wept | before | children	C2	“Amaute a sim dingin kuanto un,” a ci hi.
naihlo	hath	hath | scabbed | stones | broken	C2	mit hoihlo leh cithak a vei
naihtheih
zottheih	accessible	accessible	C2	
naihtheihna	bringing	bringing | better | hope | draw	C2	Moses Thukham ahi ngeina lui in
naihuai	abimelech	abimelech | brother | men | shechem	C2	Ahi zongin note in mi cimawhte citna tawh na huh
naii	snail	snail | melteth | every | pass	C2	Amaute a naii-a bei toktol
nail
hoof
claw	khecin	khecin	C2	
nailed	(v.): ဖမ်းဆီးခဲ့ပြီး	(v.): ဖမ်းဆီးခဲ့ပြီး	C2	
nailer	(n.): သံရိုက်သူ။ သံလုပ်သူ။ သံရောင်းသူ။ သံကုန်သည်။	(n.): သံရိုက်သူ။ သံလုပ်သူ။ သံရောင်းသူ။ သံကုန်သည်။	C2	
nailery	(n.): သံလုပ်စက်။ သံထုတ်လုပ်သည့်စက်ရုံ။	(n.): သံလုပ်စက်။ သံထုတ်လုပ်သည့်စက်ရုံ။	C2	
nailhead	nailhead, n. siiktukilh lu.	nailhead | n. siiktukilh lu. | siiktukilh lu	C2	
nailoh	thou	thou | children | shalt | treacherously	C2	Pasian' thu na mang un la
nailohna	laid	laid | should | man | whom	C2	Ahih hangin nang leh na nasemte in ahih leh
nailoin	rehoboam	rehoboam | need | whosoever | lieth	C2	Rehoboam khangno lai a, thu khentat thei nailoin, amaute
nailon	nylon	nylon	C2	•Nailon ngen nei masa: Kham Za Thang, Kam Ngaih Thang
nailopi	thou	thou | before | god | things	C2	Nangmah in a teek hun nailopi-in amah na teeksak
nailote	understand	understand | hath | simple | see	C2	hih leitung gitlohna teng a mu nailote hamphazaw lai sawnsawn uh hi.
nailpolish	nailpolish, cin nuh khutcin khecin za	nailpolish | cin nuh khutcin khecin za | nuh, khutcin khecin za | cin nuh, khutcin khecin za.	C2	
nails	sik tukkilh	sik tukkilh	C2	Where can I buy lumber and nails?
nailung	lord	lord	C2	“Ankam tang cia a pha upna nei le uh cin
nailungbu	cocoon	cocoon	C2	Italy gamah teembaw tawh ka pai ding uh thu
nainsook	(a) pat kigan puanpan	(a) pat kigan puanpan	C2	
naipaak	yarn with yellow colour	yarn with yellow colour	C2	A suak ciil naungek te vun pen naipaak thei pahpah hi.
naipen	blessed	blessed | naomi | daughter | law	C2	Tua ciangin Naomi in a monu kiangah
naipi	clock	clock	C2	Bishop Felix tungpan To Thum Pasian Pawini Kha-an vakna 2023*******Tuni
naire	bangmah thei meel lo	bangmah thei meel lo | adj. bangmah thei meel lo; naupang banga lung mawl tak muanmawhna om lo, lungsim siangtak. | bangmah thei meel lo naupang banga lung mawl tak muanmawhna om lo lungsim siangtak | naire	C2	
naisak	close		C2	Ka tutphah naisak ka honsai hi.
naisakin	speed	speed | hasten | work | see	C2	“I muh theihna dingin amah manlang sakin
naitau	belfry	belfry	C2	Naitau ii Leitawlam maitang (Facing South) ah
naite	uttermost	uttermost | wherefore | able | save	C2	Naite na deih mahmah hi.
naitonal	nationalism	nationalism	C2	
naive	(a) mimawl, lungsim ip neilo	(a) mimawl, lungsim ip neilo	C2	Hong taisan khin ding naive maw?” “Hilo, hilo, hilo….
naively	(adv.): ရိုးရိုးစင်းစင်း။	(adv.): ရိုးရိုးစင်းစင်း။	C2	
naivete	(n.): lungsim sianna; zuauphuah theih lohna	(n.): lungsim sianna; zuauphuah theih lohna	C2	
naivety	(n.): ပင်ကိုယ်ပကတိအတိုငး်ဖြစ်ခြင်း။ ရိုးစင်းခြင်း။	(n.): ပင်ကိုယ်ပကတိအတိုငး်ဖြစ်ခြင်း။ ရိုးစင်းခြင်း။	C2	
naizo	day	day	C2	Bang hang hiam cih leh minam kimte tungah ka thukhenna ding ni
nakah	come	come | put | against | tumult	C2	ka sungah nuntakna a omlaiteng, Pasian' hu, ka nakah ka diik laiteng,
naked	(a) guaktang, pumuak	(a) guaktang, pumuak	C2	​​ Naked and Not Ashamed
nakgen	more	more | much | charged | began	C2	Kuama kiangah hih thute a genlohna dingun Jesuh in kham
nakilatdan	purport		C2	
nakkham	charged	charged | more | much | great	C2	Kuama kiangah hih thute a genlohna dingun Jesuh in kham
nakkhia	pant		C2	"Cassandra, thungetna sungah na naklut nakkhia na phawk ding thupi hi.".
nakkin	many	many | equals | mine | own	C2	leh ka khan'gualte lakah Jew biakna lamah
naklau	wist	wist | what | say | sore	C2	lawmte naklau mahmah uh ahih manin
naklauhuai	terrible	terrible | sight | moses | exceedingly	C2	Tua pen naklauhuai mahmah ahih manin Moses in zong
nakliat	depth	depth | riches | both | wisdom	C2	Tua ahih manin Pasian' hong hehpihna nakliat mahmah
nakngek	young	young | men | slain | sword	C2	{ Topa } in ci hi.
nakpau	more	more | fierce | saying | stirreth	C2	Ahi zongin amaute in nawhsa takin nakpau semsem uh
nakpi-in	profound	profound	C2	Moses in, “Na cih bang hita hen! Na maitang kong
nakpipi	behold	behold | belch | mouth | swords	C2	Amaute a kam uh tawh nakpipi-in hawk uh
naksal	in spite of or spite fully, in " Pai ke'n ka cih pai naksal," He goes in spite of my order not to go	in spite of or spite fully, in " Pai ke'n ka cih pai naksal," He goes in spite of my order not to go	C2	
naksi	blood from nose, the nose bleeds	blood from nose | the nose bleeds	C2	Ama'n a naksi a puanten tawh nawt hi.
naksiat	missing	missing	C2	Guah hong zu-in, tui hong khangin, huihpi hong nung
naksiatzaw	thou	thou | hast | sisters | bear	C2	mawhlo tawh kibang phial hi. Na sanggam numeite
nakthuk	both	both | wisdom | knowledge | god	C2	Tua ahih manin Pasian' hong hehpihna nakliat mahmah
nakzat	should	should | more | authority | lord	C2	Bang hang hiam cih leh note' siatna ding hiloin note'
nakzuih	jews	jews | there | believe | zealous	C2	amaute in thukham nakzuih mahmah uh hi.
nalo	harmless		C2	Nang na lungsim nalo hi.
nalsak	slippery	slippery | angel | way | dark	C2	{ Topa' } vantung mi' delhna-ah
nambat	figure	heard | hundred | over | number	C2	Tuhun dongin amaute in Moses Thukham laibu
namby-pamby	a nehno thu a ngaihsun lua, namby-pamby	a nehno thu a ngaihsun lua | namby-pamby	C2	
namdangpi	speaketh	speaketh | barbarian | meaning | voice	C2	a paupa zong kei-a' dingin mi namdangpi khat hi ding hi.
name	(n) min; (v) min phuak, min gen	(n) min; (v) min phuak, min gen	C2	Code name bangin kilang hi.
name-dropper	name-dropper	name-dropper | n. a thugeente ki-um leh a ut man a mi minthangte' min a baan/geen mi. | a thugeente ki-um leh a ut man a mi minthangte’ min a baan/geen mi | thugeente ki-um leh a ut man a mi minthangte' min a baan/geen mi	C2	
name-plate	min gelhna singpeek, name-plate	min gelhna singpeek | name-plate | min-peek min gelhna singpeek | n. min-peek; min gelhna singpeek.	C2	
namely	(adv) amin in, a min genin	(adv) amin in, a min genin	C2	Namely: Tedim, Tozang, and Cikha districts Zomi areas.
namesak	namesak, a min kibang mi	namesak | a min kibang mi	C2	
namesake	(n.): နာမည်-အမည်နာမ-တူသူ။ လေးစားကြည်ညိုသောကြောင့်အမည်ချင်းတူအောင်မှည့်ထားသူ။	(n.): နာမည်-အမည်နာမ-တူသူ။ လေးစားကြည်ညိုသောကြောင့်အမည်ချင်းတူအောင်မှည့်ထားသူ။	C2	
namgim	kerosene	kerosene	C2	Bangin namgim a nei hiam?
namhon
anam	species	species	C2	
namkipna	ordination	ordination	C2	
namlephung	kindred	kindred | mordecai | charged | should	C2	Mordekai in kham ahih manin Esther in ama namlephung genkhialo hi.
namnamin	early	early | morning | brought | israel	C2	Tua ahih ciangin zingsangin Joshua tho baihin, a namnamin Israel-te hong paipih
nampih	kindred	kindred	C2	Ka mipih, ka nampih khempeuh zong kei bangmah ahi hi.
namsaau	sword	sword	C2	A’ Topa amatsawm siampilianpa’ naseempa namsaau-tawh avaat pahgiap mipa ahi hi.
namsaklo	hast	hast | kiss | sons | daughters	C2	Bang hangin ka tapate leh ka tanute mangpha khakna hong
namsia	bedbug	bedbug	C2	A sagihna vantung mi in
namsiatna	malodor, stench	malodor | stench	C2	Ui in Ziri's namsiatna mukhia hi.
namsuk	imprint	imprint	C2	Ziri in sam a namsuk hi.
namtuina	fragrance, flavor	fragrance | flavor	C2	Uite in namtuina na mukha hi.
namtuisak	come	come | garden | thou | south	C2	hong nungto in. Ka huan sungteng hong namtuisak un. Ka ngaihno
namtuui	fragrant sweet smell	fragrant sweet smell	C2	
namun	morning	morning | therefore | brought | according	C2	behbehin hong pai ding hi. { Topa } in
nan'na	king	king | siege | strong | house	C2	“Assiria kumpipa Sennakherib in hih bangin ci hi: ‘Note in
nan'nate	undersetters	undersetters | base | every | corners	C2	A kingaknate' kiu ciatah a nan'na li om ciat
nana	(n.): naupang kam a "pi" cihna	(n.): naupang kam a "pi" cihna	C2	Zongeina khat honghilh nana-hi gige-hi.
nanan	Coriander	Coriander	C2	manta,nanan leh a tuamtuam nacing uha
nance	a huuk a lan deuh mi a diakin pasal leh pasal a kimawl nuam mi	a huuk a lan deuh mi a diakin pasal leh pasal a kimawl nuam mi | n. a huuk a lan deuh mi a diakin pasal leh pasal a kimawl nuam mi. | nance | huuk a lan deuh mi a diakin pasal leh pasal a kimawl nuam mi	C2	
nancy	numei le numei pasal leh pasal kilung gulhna, nancy	numei le numei pasal leh pasal kilung gulhna | nancy	C2	Nancy, bang na mu hiam?
nang	you	you	C2	Nangmah in mite-a' dingin dalna khat a kimkotah na koih ding
nang
nangmah	thou	thou	C2	
nang
nangmah
na	ye 	ye 	C2	
nang
nangpen	thou 	thou 	C2	
nang
note	you	you	C2	
nanga	thou	thou | saith | see | fellowservant	C2	Tua pawi sungah nanga kipan na tanute leh na tapate
nangaa	thy	thy	C2	Tua ciangin Hamathzobah-ah Solomon pai-in tua gam a la hi.
nangh	weak exhausted being defeated	weak exhausted being defeated	C2	I nangh lua deuh hi
nanghsak	adaw		C2	
nangka	manawi gah, nangka	manawi gah | nangka	C2	Hih ann tawlna inn in nangka (peanut) butter leh jelly sandwich
nangmah	thee	thee | thou | shalt | hast	C2	Kei ka lau ciangin nangmah ka hong muang hi.
nangnuam	missing	missing	C2	pumpi in nang zolo hi,” a ci hi.
nangpipi	centurion	centurion | answered | lord | worthy	C2	damna dingin thu pia lel lecin zong ka nasempa dam ding hi.
nangzo	can	can | stand | anger | whole	C2	Ama hehna kua in nangzo ding
nangzolo	missing	missing	C2	Ze-etna-ah na puk khaklohna dingun thu ngen un. Lungsim in
nangzote	blessed	blessed | man | endureth | temptation	C2	A hoih takpi mah hiam
nankeen	leiseek mel pat puan, nankeen	leiseek mel pat puan | nankeen	C2	
nanna	resist	resist	C2	Lim ngaihsut loin sepna tawh bangmah piang zolo
nanny	(n) kelpi, nau cingnu, naukeemnu	(n) kelpi, nau cingnu, naukeemnu	C2	Tua naupangno pen naukem numei “Nanny” tawh aomkhawm uh ahi hi.
nanny-goat	(n.): ဆိတ်မ။	(n.): ဆိတ်မ။	C2	
nanometer	meter khat mak za suah le'ng seh khat, n. meter khat mak za suah le'ng seh khat.	meter khat mak za suah le'ng seh khat | n. meter khat mak za suah le'ng seh khat. | meter khat mak za suah le’ng seh khat | nanometer	C2	Meter khat ah nanometer billion khat om hi.
nanosecond	n. second khat mak za suah le'ng seh khat., second khat mak za suah le'ng seh khat	n. second khat mak za suah le'ng seh khat. | second khat mak za suah le'ng seh khat | nanosecond | second khat mak za suah le’ng seh khat	C2	Setkaan 1 pen seh billion 1 (1,000,000,000) suahin
nanotechnology	(n.): နန်နိုနည်းပညာ	(n.): နန်နိုနည်းပညာ	C2	Nanotechnology kici pen bang hiam?
nantna	protection		C2	Tua nantna nei te inn sung Kumpi ten deihtakin hahsiang
nany	(n): camoe khoem, ca-poeh, ca om.	(n): camoe khoem, ca-poeh, ca om.	C2	
naos	taanglai biakinn, n. taanglai biakinn.	taanglai biakinn | n. taanglai biakinn. | naos	C2	
napalm	(n) datsi tawh kibawl bom	(n) datsi tawh kibawl bom	C2	Napalm gim a nam hi.
nape	(n) deek, ngawng zaang, deekkhuk	(n) deek, ngawng zaang, deekkhuk	C2	Ka nasepna ah ka leader pa mai ngap mahmah kahihciangin kum 2017
nape
scruff	ngawng zaang	ngawng zaang	C2	
napery	(n.): စားပွဲသုံးအထည်များ။ စားပွဲခင်း-လက်သုတ်ပုဝါစသည်အထည်စု။	(n.): စားပွဲသုံးအထည်များ။ စားပွဲခင်း-လက်သုတ်ပုဝါစသည်အထည်စု။	C2	
naphtha	(n.): daatsi nam khat	(n.): daatsi nam khat	C2	Naphtha gim nam hi.
naphung	grove		C2	3) Na beh, naphung ciang a khual, avaan lel nahih leh …..
napi-form	a dawn lam liana a tawlam zumsuk tawlam neuzaw, dawn lam liana a tawlam zumsuk	a dawn lam liana a tawlam zumsuk tawlam neuzaw | dawn lam liana a tawlam zumsuk | napi-form | tawlam neuzaw	C2	
napkaai	mucifirous	mucifirous	C2	
napkeu	mucus		C2	
napkin	(n) kinulna puan, khutme, muk te nulna, mainul	(n) kinulna puan, khutme, muk te nulna, mainul	C2	Napkin tungah ka gelh hi.
napoleonic	napoleonic, Napoleon tawh a kibang	napoleonic | Napoleon tawh a kibang | Napoleonic	C2	Napoleonic galpi lai 1810 kumin Mikang te-in hih tuikulh la uh hi.
napper	n. ihmut pahpaha ciing mi., napper	n. ihmut pahpaha ciing mi. | napper | ihmut pahpaha ciing mi	C2	
nappy	(adj.): အိပ်ချင်သော။ ငိုက်မြည်းစေသော။ မူးဝေစေသော။ မွှေးနုထူသော-များသော။ အမွှေးစုတ်ဖွားဖြစ်သော။	(adj.): အိပ်ချင်သော။ ငိုက်မြည်းစေသော။ မူးဝေစေသော။ မွှေးနုထူသော-များသော။ အမွှေးစုတ်ဖွားဖြစ်သော။	C2	Naupang nappy ka thun hi.
naptolh	snivel	snivel	C2	
naptui
ciltui
mittui	rheum 	rheum 	C2	
naptuui	runny	runny	C2	
narceine	(n.): ဘိန်းတွင်ပါဝင်သည့်ထုံစေသောဓာတ်။	(n.): ဘိန်းတွင်ပါဝင်သည့်ထုံစေသောဓာတ်။	C2	
narcissus	(n.): ( pl. same, -cissi |-ˈsisī; -sē|, or -cissuses ) အရွက်ရှည်၍ အဖြူအဝါ ပန်းပွင့်သည့် ဥပေါက်အပင်။	(n.): ( pl. same, -cissi |-ˈsisī; -sē|, or -cissuses ) အရွက်ရှည်၍ အဖြူအဝါ ပန်းပွင့်သည့် ဥပေါက်အပင်။	C2	Narcissus pen ama mel-lim lunggulh mahmah hi.
narcolepsy	narcolepsy	n. kideek zolo khopa ihmut suahna, ihmut nopna; ihmut ut luatna. | narcolepsy | kideek zolo khopa ihmut suahna, ihmut nopna | kideek zolo khopa ihmut suahna ihmut nopna ihmut ut luatna	C2	
narcosis	(n.): ဆေးကြောင့်ထုံထိုင်းခြင်း။ ထိုင်းမှိုင်းခြင်း။	(n.): ဆေးကြောင့်ထုံထိုင်းခြင်း။ ထိုင်းမှိုင်းခြင်း။	C2	
narcotic	(n) kham theih zatui, guih theih zatui	(n) kham theih zatui, guih theih zatui	C2	
nares	naak vaang hawm sung, n. naak vaang hawm sung.	naak vaang hawm sung | n. naak vaang hawm sung. | vaang hawm sung | nares	C2	
nark	(v.): hilh-a heh sak; theih sak a lunghaang sak	(v.): hilh-a heh sak; theih sak a lunghaang sak	C2	
narrate	(v) gen, athugen, a thuphuang	(v) gen, athugen, a thuphuang	C2	Usually after the family dinner
narrative	(a) athu genna zia; (n) athu genna, thuphuanna	(a) athu genna zia; (n) athu genna, thuphuanna	C2	com/jesu-nausen-lai-tangthu-infancy-narrative-agelh-lian-muan-kham-suante/", "depth": 1, "zolai_score": 0.
narrator	(n) athugenmi, atangthu gen pen	(n) athugenmi, atangthu gen pen	C2	Ama'n television sinema sungah thu-gen (narrator) sem hi.
narrow	(a) zim, toi, neu, kawcik	(a) zim, toi, neu, kawcik	C2	Pasalpa lampi ciim (narrow path) ah a pai hi.
narrow
salient	geek	geek	C2	
narrow
strait	kawciik	kawciik	C2	
narrow-minded	(adj) khawruah tawi mi	(adj) khawruah tawi mi	C2	
narrow-minded
hidebound	muhna neeu	muhna neeu	C2	
narrowly	(adv) fangfang	(adv) fangfang	C2	
narsissas	salute	salute | herodion | kinsman | greet	C2	Jew mipih Herodion leh Narsissas innkuan sunga i Khristian sanggamte
nasal	(adj) hnar lam thawn a seng mi	(adj) hnar lam thawn a seng mi	C2	'n-' [n] represents a voiced alveolar nasal
nascent	(adj.): thok pekte, um pekte.	(adj.): thok pekte, um pekte.	C2	
naseem	follower, to do a work	follower | to do a work	C2	Aakkhuan zui-in naseem uh hi.
naseempa	the worker	the worker	C2	Tua ciangin kumpipa naseempa khat in a en hi.
naseemtu	worker	worker	C2	
nasemkhawm	worship	worship | testimony | jesus | god	C2	“Kei hong bia kei in. Kei pen nang leh na sanggamte
